datetime,solarradiation
9/11/2021,186.5
9/12/2021,199.2
9/13/2021,99
9/14/2021,106.3
9/15/2021,109.2
9/16/2021,113.9
9/17/2021,125.2
9/18/2021,200.4
9/19/2021,172.6
9/20/2021,178.1
9/21/2021,137.4
9/22/2021,129.3
9/23/2021,155
9/24/2021,88.2
9/25/2021,144.9
9/26/2021,175.1
9/27/2021,119.7
9/28/2021,278
9/29/2021,270.1
9/30/2021,261.4
10/1/2021,194.5
10/2/2021,229.3
10/3/2021,226.9
10/4/2021,257.6
10/5/2021,103.6
10/6/2021,155.6
10/7/2021,259.2
10/8/2021,253.5
10/9/2021,140.2
10/10/2021,93.7
10/11/2021,96.5
10/12/2021,253.2
10/13/2021,113.2
10/14/2021,102.3
10/15/2021,117.7
10/16/2021,140.3
10/17/2021,169.7
10/18/2021,135.8
10/19/2021,175.7
10/20/2021,197.7
10/21/2021,134.5
10/22/2021,174.1
10/23/2021,230.6
10/24/2021,240.2
10/25/2021,241.2
10/26/2021,234.2
10/27/2021,237.2
10/28/2021,118.6
10/29/2021,140.4
10/30/2021,114.6
10/31/2021,136.9
11/1/2021,177.1
11/2/2021,164.9
11/3/2021,189.2
11/4/2021,227.3
11/5/2021,212.2
11/6/2021,218.2
11/7/2021,201.1
11/8/2021,168
11/9/2021,202.5
11/10/2021,203.2
11/11/2021,223.1
11/12/2021,178.9
11/13/2021,216.8
11/14/2021,210
11/15/2021,123.8
11/16/2021,159.5
11/17/2021,139.8
11/18/2021,205.8
11/19/2021,188.8
11/20/2021,194.9
11/21/2021,202.4
11/22/2021,161
11/23/2021,211.1
11/24/2021,180.5
11/25/2021,189.1
11/26/2021,206
11/27/2021,192.2
11/28/2021,204.3
11/29/2021,202.7
11/30/2021,173.9
12/1/2021,218
12/2/2021,218.3
12/3/2021,215.4
12/4/2021,210.8
12/5/2021,205.1
12/6/2021,207.5
12/7/2021,206.5
12/8/2021,178.6
12/9/2021,119.3
12/10/2021,171.1
12/11/2021,181.1
12/12/2021,171.1
12/13/2021,176.7
12/14/2021,199.7
