datetime,solarradiation
2023-09-29T00:00:00,0
2023-09-29T01:00:00,0
2023-09-29T02:00:00,0
2023-09-29T03:00:00,0
2023-09-29T04:00:00,0
2023-09-29T05:00:00,0
2023-09-29T06:00:00,0
2023-09-29T07:00:00,32
2023-09-29T08:00:00,86
2023-09-29T09:00:00,255
2023-09-29T10:00:00,351
2023-09-29T11:00:00,689
2023-09-29T12:00:00,876
2023-09-29T13:00:00,819
2023-09-29T14:00:00,641
2023-09-29T15:00:00,184
2023-09-29T16:00:00,79
2023-09-29T17:00:00,77
2023-09-29T18:00:00,23
2023-09-29T19:00:00,0
2023-09-29T20:00:00,0
2023-09-29T21:00:00,0
2023-09-29T22:00:00,0
2023-09-29T23:00:00,0
2023-09-30T00:00:00,0
2023-09-30T01:00:00,0
2023-09-30T02:00:00,0
2023-09-30T03:00:00,0
2023-09-30T04:00:00,0
2023-09-30T05:00:00,0
2023-09-30T06:00:00,1
2023-09-30T07:00:00,88
2023-09-30T08:00:00,271
2023-09-30T09:00:00,266
2023-09-30T10:00:00,530
2023-09-30T11:00:00,712
2023-09-30T12:00:00,717
2023-09-30T13:00:00,806
2023-09-30T14:00:00,756
2023-09-30T15:00:00,538
2023-09-30T16:00:00,354
2023-09-30T17:00:00,222
2023-09-30T18:00:00,31
2023-09-30T19:00:00,0
2023-09-30T20:00:00,0
2023-09-30T21:00:00,0
2023-09-30T22:00:00,0
2023-09-30T23:00:00,0
2023-10-01T00:00:00,0
2023-10-01T01:00:00,0
2023-10-01T02:00:00,0
2023-10-01T03:00:00,0
2023-10-01T04:00:00,0
2023-10-01T05:00:00,0
2023-10-01T06:00:00,1
2023-10-01T07:00:00,99
2023-10-01T08:00:00,323
2023-10-01T09:00:00,543
2023-10-01T10:00:00,726
2023-10-01T11:00:00,852
2023-10-01T12:00:00,909
2023-10-01T13:00:00,892
2023-10-01T14:00:00,804
2023-10-01T15:00:00,653
2023-10-01T16:00:00,452
2023-10-01T17:00:00,221
2023-10-01T18:00:00,27
2023-10-01T19:00:00,0
2023-10-01T20:00:00,0
2023-10-01T21:00:00,0
2023-10-01T22:00:00,0
2023-10-01T23:00:00,0
2023-10-02T00:00:00,0
2023-10-02T01:00:00,0
2023-10-02T02:00:00,0
2023-10-02T03:00:00,0
2023-10-02T04:00:00,0
2023-10-02T05:00:00,0
2023-10-02T06:00:00,1
2023-10-02T07:00:00,100
2023-10-02T08:00:00,329
2023-10-02T09:00:00,551
2023-10-02T10:00:00,734
2023-10-02T11:00:00,860
2023-10-02T12:00:00,917
2023-10-02T13:00:00,900
2023-10-02T14:00:00,811
2023-10-02T15:00:00,657
2023-10-02T16:00:00,444
2023-10-02T17:00:00,215
2023-10-02T18:00:00,27
2023-10-02T19:00:00,0
2023-10-02T20:00:00,0
2023-10-02T21:00:00,0
2023-10-02T22:00:00,0
2023-10-02T23:00:00,0
2023-10-03T00:00:00,0
